1,5,34,5,1,22,1,3
2,21,33,5,0,0,49,2
3,13,42,2,1,28,23,2
4,16,23,6,0,26,32,2
5,15,18,6,1,2,5,2
6,17,40,1,0,32,13,2
7,17,53,9,0,34,49,2
8,18,3,8,0,24,23,3
9,17,19,2,0,18,31,2
10,16,57,1,0,4,6,2
11,18,51,1,0,6,16,2
12,16,47,2,0,1,57,2
13,16,41,7,1,36,28,2
14,17,37,6,0,3,15,2
15,21,30,0,1,12,10,2
16,18,18,8,0,13,47,3
17,18,20,8,0,16,11,3
18,18,19,9,0,17,8,2
19,17,2,6,0,26,16,2
20,18,2,6,0,23,2,3
21,18,4,6,0,22,30,2
22,18,36,4,0,23,54,2
23,17,56,8,0,19,1,2
24,18,16,9,0,18,29,2
25,18,31,6,0,19,15,2
26,18,45,2,0,9,24,2
27,19,59,6,1,22,43,3
28,18,24,5,0,24,52,2
29,20,23,9,1,38,32,2
30,21,40,4,0,23,11,2
31,0,42,7,1,41,16,1
32,0,42,7,1,40,52,1
33,1,33,9,1,30,39,1
34,2,42,0,1,42,47,2
35,6,8,9,1,24,20,2
36,5,36,1,1,34,8,2
37,5,52,4,1,32,33,2
38,5,28,4,1,35,50,2
39,21,32,2,1,48,26,2
40,12,22,4,1,58,5,0
41,6,46,0,0,20,44,2
42,5,35,4,0,5,27,3
43,5,35,6,0,5,16,3
44,8,40,1,1,19,59,2
45,3,47,0,1,24,7,2
46,7,41,8,0,14,49,2
47,7,36,6,0,14,30,2
48,8,13,8,0,5,48,2
49,12,29,8,1,8,0,1
50,7,3,2,0,8,20,2
51,13,29,9,1,47,12,1
52,23,24,2,1,61,35,2
53,13,12,9,1,18,10,2
54,18,55,1,0,30,29,2
55,19,40,0,0,30,58,2
56,19,16,6,1,30,11,2
57,18,53,6,1,33,2,3
58,12,37,7,1,11,49,1
59,12,42,0,1,11,39,1
60,12,43,7,1,11,33,1
61,12,21,9,1,4,28,1
62,17,1,2,0,30,7,2
63,13,15,8,1,42,2,1
64,12,56,7,1,21,41,1
65,11,18,9,1,13,5,1
66,11,20,2,1,12,59,1
67,8,50,4,1,11,49,2
68,12,39,5,0,26,45,2
69,18,31,4,0,32,21,2
70,18,43,2,0,32,18,2
71,19,53,8,1,18,47,2
72,20,53,5,0,12,32,2
73,20,58,9,0,12,38,0
74,1,36,7,1,15,47,1
75,20,6,1,0,21,55,2
76,1,42,4,1,51,34,3
77,2,42,7,0,0,1,1
78,5,46,7,1,0,3,3
79,5,24,5,0,24,33,2
80,16,17,0,0,22,59,2
81,9,55,6,1,69,4,1
82,9,55,8,1,69,41,1
83,13,37,0,0,29,52,1
84,12,25,1,1,12,53,1
85,12,25,4,1,18,11,1
86,12,26,2,1,12,57,1
87,12,30,8,1,12,24,1
88,12,32,0,1,14,25,1
89,12,35,7,1,12,33,1
90,12,36,8,1,13,10,1
91,12,35,4,1,14,30,1
92,17,17,1,1,43,8,2
93,7,44,6,0,23,52,2
94,12,50,9,1,41,7,1
95,10,44,0,1,11,42,1
96,10,46,8,1,11,49,1
97,11,14,8,1,55,1,3
98,12,13,8,1,14,54,1
99,12,18,8,1,14,25,1
100,12,22,9,1,15,49,1
101,14,3,2,1,54,21,1
102,15,6,5,1,55,46,1
103,1,33,2,1,60,42,2
104,12,40,0,0,11,37,1
105,10,47,8,1,12,35,1
106,12,19,0,1,47,18,1
107,16,32,5,0,13,3,2
108,11,11,5,1,55,40,1
109,11,57,6,1,53,23,1
110,0,40,4,1,41,41,1
